Year,Total_Fires,Total_Fire_Size,Average_Fire_Size
1992,12230,1007120.09,82.3483311529027
1993,7539,1112360.93,147.54754344077463
1994,16204,2393714.77,147.72369600098742
1995,8075,831346.93,102.95318018575853
1996,12634,3249387.31,257.1938665505778
1997,8447,2218295.28,262.6133870013022
1998,10880,836085.39,76.84608363970588
1999,11797,3661816.04,310.40230906162583
2000,16547,4895256.452,295.83951483652623
2001,13825,1954476.41,141.37261555153705
2002,12465,4000895.324859,320.97034294897713
2003,13828,2429578.64519,175.69993095096905
2004,11726,7180591.23018,612.3649352021149
2005,11103,7604853.91502,684.9368562568675
2006,16949,5556431.73101,327.8324226213936
2007,12711,5973669.81104,469.9606491259539
2008,9904,2236002.24,225.76759289176093
2009,10449,3938008.21162,376.87895603598434
2010,8983,2030729.7285,226.06364560837136
2011,12538,3764986.24,300.28602966980384
2012,11130,6883806.686,618.4911667565138
2013,10154,3002130.35,295.65987295647034
2014,8538,2073452.89125,242.8499521257906
2015,9812,8198504.41,835.5589492458215
